title,price,category,image_url,description,brand,color,material,rating
Nike Eco-friendly Shoes Model 1,₹3060,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,White,Canvas,3.7
Adidas Casual Shoes Model 2,₹2190,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,White,Textile,3.8
Puma Running Shoes Model 3,₹3248,Running Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Puma,Grey,Textile,4.4
New Balance Running Shoes Model 4,₹2928,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Beige,Textile,4.4
Nike Eco-friendly Shoes Model 5,₹3807,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Beige,Textile,4.8
Nike Running Shoes Model 6,₹4550,Running Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Recycled Textile,4.7
Puma Casual Shoes Model 7,₹2610,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Puma,Red,Recycled Textile,3.9
New Balance Casual Shoes Model 8,₹2368,Casual Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,New Balance,White,Canvas,4.9
Puma Eco-friendly Shoes Model 9,₹4744,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,Blue,Textile,4.8
Puma Casual Shoes Model 10,₹4832,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Puma,White,Mesh,4.9
Skechers Casual Shoes Model 11,₹3807,Casual Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Skechers,Red,Canvas,5.0
Reebok Running Shoes Model 12,₹4917,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Blue,Synthetic Leather,4.3
Puma Eco-friendly Shoes Model 13,₹4352,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,White,Recycled Textile,4.0
New Balance Running Shoes Model 14,₹4793,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,New Balance,Black,Canvas,4.9
Skechers Eco-friendly Shoes Model 15,₹2653,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Skechers,Grey,Recycled Textile,4.6
Nike Sneakers Model 16,₹2930,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Mesh,5.0
Nike Casual Shoes Model 17,₹3130,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Beige,Synthetic Leather,3.7
Reebok Running Shoes Model 18,₹2137,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Beige,Synthetic Leather,4.3
Reebok Casual Shoes Model 19,₹2812,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Reebok,Grey,Textile,4.4
Nike Running Shoes Model 20,₹3634,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Nike,Blue,Synthetic Leather,3.8
Nike Sneakers Model 21,₹3560,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Nike,Beige,Synthetic Leather,4.8
New Balance Eco-friendly Shoes Model 22,₹3861,Eco-friendly Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,New Balance,Beige,Mesh,3.8
New Balance Eco-friendly Shoes Model 23,₹3198,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,White,Mesh,4.4
Nike Sneakers Model 24,₹2616,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,Blue,Canvas,4.0
Nike Sneakers Model 25,₹4803,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Beige,Textile,4.2
Reebok Sneakers Model 26,₹4289,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,Beige,Recycled Textile,3.6
Adidas Casual Shoes Model 27,₹4495,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,White,Canvas,4.1
Adidas Sneakers Model 28,₹2778,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Adidas,Blue,Recycled Textile,4.9
Adidas Sneakers Model 29,₹3073,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,Black,Recycled Textile,4.7
New Balance Casual Shoes Model 30,₹4397,Casual Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,New Balance,Black,Recycled Textile,3.6
Nike Sneakers Model 31,₹3100,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Nike,Beige,Textile,3.7
Puma Eco-friendly Shoes Model 32,₹2729,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Puma,Blue,Synthetic Leather,3.9
Skechers Casual Shoes Model 33,₹2519,Casual Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Skechers,Beige,Mesh,3.5
Puma Casual Shoes Model 34,₹4278,Casual Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Puma,White,Synthetic Leather,3.9
New Balance Eco-friendly Shoes Model 35,₹2924,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Beige,Mesh,3.6
Reebok Sneakers Model 36,₹2196,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,Beige,Textile,3.9
Skechers Eco-friendly Shoes Model 37,₹2739,Eco-friendly Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Skechers,Beige,Canvas,4.4
Puma Running Shoes Model 38,₹4160,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,Blue,Recycled Textile,4.8
Reebok Eco-friendly Shoes Model 39,₹4161,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Grey,Canvas,4.3
Reebok Eco-friendly Shoes Model 40,₹4609,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Reebok,Red,Textile,4.7
New Balance Eco-friendly Shoes Model 41,₹3241,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,New Balance,Grey,Synthetic Leather,3.6
Puma Running Shoes Model 42,₹2918,Running Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Puma,White,Canvas,4.3
Adidas Sneakers Model 43,₹3391,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Adidas,Beige,Recycled Textile,3.9
Puma Sneakers Model 44,₹2561,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Puma,White,Synthetic Leather,4.8
